,eleve,note,groupe,quizz
659,eleve192,"83,33 %",ibo6,td3
660,eleve195,100 %,ibo6,td3
661,eleve205,100 %,ibo6,td3
662,eleve6,100 %,ibo6,td2
663,eleve25,60 %,ibo6,td2
664,eleve38,100 %,ibo6,td2
665,eleve52,40 %,ibo6,td2
666,eleve58,100 %,ibo6,td2
667,eleve59,100 %,ibo6,td2
668,eleve60,100 %,ibo6,td2
669,eleve62,100 %,ibo6,td2
670,eleve73,60 %,ibo6,td2
671,eleve74,100 %,ibo6,td2
672,eleve81,100 %,ibo6,td2
673,eleve83,100 %,ibo6,td2
674,eleve93,60 %,ibo6,td2
675,eleve107,100 %,ibo6,td2
676,eleve118,100 %,ibo6,td2
677,eleve120,100 %,ibo6,td2
678,eleve125,100 %,ibo6,td2
679,eleve143,80 %,ibo6,td2
680,eleve150,80 %,ibo6,td2
681,eleve151,100 %,ibo6,td2
682,eleve157,100 %,ibo6,td2
683,eleve162,60 %,ibo6,td2
684,eleve177,100 %,ibo6,td2
685,eleve187,100 %,ibo6,td2
686,eleve181,100 %,ibo6,td2
687,eleve192,100 %,ibo6,td2
688,eleve195,100 %,ibo6,td2
689,eleve205,100 %,ibo6,td2
690,eleve207,80 %,ibo6,td2
691,eleve0,100 %,ibo2,td3
692,eleve1,100 %,ibo2,td3
693,eleve4,100 %,ibo2,td3
694,eleve53,100 %,ibo2,td3
695,eleve56,"83,33 %",ibo2,td3
696,eleve64,"83,33 %",ibo2,td3
697,eleve67,100 %,ibo2,td3
698,eleve76,100 %,ibo2,td3
699,eleve85,"83,33 %",ibo2,td3
700,eleve95,100 %,ibo2,td3
701,eleve88,100 %,ibo2,td3
702,eleve92,100 %,ibo2,td3
703,eleve94,"83,33 %",ibo2,td3
704,eleve99,100 %,ibo2,td3
705,eleve112,100 %,ibo2,td3
706,eleve123,100 %,ibo2,td3
707,eleve130,100 %,ibo2,td3
708,eleve136,"83,33 %",ibo2,td3
709,eleve140,100 %,ibo2,td3
710,eleve146,100 %,ibo2,td3
711,eleve158,"83,33 %",ibo2,td3
712,eleve159,100 %,ibo2,td3
713,eleve168,"83,33 %",ibo2,td3
714,eleve175,100 %,ibo2,td3
715,eleve191,100 %,ibo2,td3
716,eleve200,100 %,ibo2,td3
717,eleve202,100 %,ibo2,td3
718,eleve5,100 %,ibo5,td3
719,eleve24,100 %,ibo5,td3
720,eleve26,100 %,ibo5,td3
721,eleve40,100 %,ibo5,td3
722,eleve41,"66,67 %",ibo5,td3
723,eleve50,100 %,ibo5,td3
724,eleve57,100 %,ibo5,td3
725,eleve65,100 %,ibo5,td3
726,eleve82,100 %,ibo5,td3
727,eleve111,"83,33 %",ibo5,td3
728,eleve116,50 %,ibo5,td3
729,eleve117,100 %,ibo5,td3
730,eleve119,"83,33 %",ibo5,td3
731,eleve121,100 %,ibo5,td3
732,eleve132,100 %,ibo5,td3
733,eleve134,"83,33 %",ibo5,td3
734,eleve138,100 %,ibo5,td3
735,eleve142,"83,33 %",ibo5,td3
736,eleve144,"83,33 %",ibo5,td3
737,eleve145,"83,33 %",ibo5,td3
738,eleve156,100 %,ibo5,td3
739,eleve160,100 %,ibo5,td3
740,eleve161,100 %,ibo5,td3
741,eleve174,100 %,ibo5,td3
742,eleve166,"66,67 %",ibo5,td3
743,eleve176,"83,33 %",ibo5,td3
744,eleve186,100 %,ibo5,td3
745,eleve196,"66,67 %",ibo5,td3
